matchId,bowler,runs_conceded,balls_bowled,economy,wickets
335982,AA Noffke,35,24,8.75,1.0
335982,AB Agarkar,21,24,5.25,3.0
335982,AB Dinda,7,18,2.3333333333333335,2.0
335982,CL White,22,6,22.0,0.0
335982,I Sharma,6,18,2.0,1.0
335982,JH Kallis,47,24,11.75,1.0
335982,LR Shukla,9,7,7.714285714285715,1.0
335982,P Kumar,37,24,9.25,0.0
335982,SB Joshi,26,18,8.666666666666666,0.0
335982,SC Ganguly,20,24,5.0,2.0
335982,Z Khan,38,24,9.5,1.0
335983,B Lee,34,25,8.16,1.0
335983,IK Pathan,47,24,11.75,2.0
335983,JDP Oram,37,24,9.25,0.0
335983,JR Hopes,53,24,13.25,1.0
335983,Joginder Sharma,46,24,11.5,1.0
335983,K Goel,25,12,12.5,0.0
335983,M Muralitharan,31,24,7.75,1.0
335983,MS Gony,40,24,10.0,1.0
335983,P Amarnath,42,24,10.5,1.0
335983,PP Chawla,19,6,19.0,0.0
335983,S Sreesanth,34,18,11.333333333333332,0.0
335983,WA Mota,22,12,11.0,1.0
335984,B Geeves,41,24,10.25,0.0
335984,D Salunkhe,6,6,6.0,0.0
335984,DL Vettori,35,24,8.75,1.0
335984,GD McGrath,20,24,5.0,1.0
335984,MF Maharoof,11,24,2.75,2.0
335984,MM Patel,25,18,8.333333333333332,0.0
335984,R Bhatia,15,24,3.75,2.0
335984,SK Trivedi,29,18,9.666666666666668,0.0
335984,SK Warne,16,12,8.0,0.0
335984,SR Watson,30,24,7.5,1.0
335984,YK Pathan,16,13,7.384615384615385,0.0
335985,A Nehra,43,24,10.75,1.0
335985,AM Nayar,10,6,10.0,0.0
335985,B Akhil,17,18,5.666666666666666,2.0
335985,DS Kulkarni,17,16,6.375,1.0
335985,Harbhajan Singh,35,24,8.75,2.0
335985,JH Kallis,41,18,13.666666666666666,0.0
335985,P Kumar,28,24,7.0,1.0
335985,R Vinay Kumar,41,24,10.25,0.0
335985,SB Joshi,10,12,5.0,0.0
335985,SM Pollock,17,24,4.25,0.0
335985,ST Jayasuriya,39,24,9.75,1.0
335985,Z Khan,17,24,4.25,2.0
335986,A Symonds,13,13,6.0,0.0
335986,AB Agarkar,19,12,9.5,2.0
335986,AB Dinda,17,19,5.368421052631579,1.0
335986,DJ Hussey,34,18,11.333333333333332,1.0
335986,I Sharma,6,18,2.0,1.0
335986,M Kartik,17,22,4.636363636363637,3.0
335986,Mohammad Hafeez,7,25,1.6800000000000002,1.0
335986,PP Ojha,16,24,4.0,2.0
335986,RP Singh,15,18,5.0,1.0
335986,SB Bangar,13,18,4.333333333333333,0.0
335986,SB Styris,18,24,4.5,0.0
335986,WPUJC Vaas,9,18,3.0,2.0
335987,B Lee,33,26,7.615384615384615,1.0
335987,D Salunkhe,19,11,10.363636363636363,1.0
335987,IK Pathan,19,24,4.75,1.0
335987,JR Hopes,32,24,8.0,1.0
335987,MM Patel,36,24,9.0,1.0
335987,PP Chawla,27,12,13.5,0.0
335987,Pankaj Singh,12,6,12.0,0.0
335987,S Sreesanth,33,21,9.428571428571429,1.0
335987,SK Trivedi,25,24,6.25,2.0
335987,SK Warne,19,24,4.75,3.0
335987,SR Watson,38,25,9.120000000000001,0.0
335987,WA Mota,12,6,12.0,0.0
335987,YK Pathan,13,6,13.0,0.0
335988,A Symonds,35,12,17.5,0.0
335988,GD McGrath,22,24,5.5,0.0
335988,MF Maharoof,35,24,8.75,2.0
335988,Mohammad Asif,19,24,4.75,2.0
335988,PP Ojha,3,6,3.0,0.0
335988,R Bhatia,27,24,6.75,2.0
335988,RP Singh,26,18,8.666666666666666,1.0
335988,SB Bangar,29,12,14.5,0.0
335988,Shahid Afridi,17,12,8.5,0.0
335988,VY Mahesh,34,25,8.16,1.0
335988,WPUJC Vaas,21,18,7.0,0.0
335989,A Nehra,32,25,7.68,1.0
335989,AM Nayar,14,6,14.0,0.0
335989,DJ Bravo,35,18,11.666666666666666,0.0
335989,DS Kulkarni,24,19,7.578947368421052,1.0
335989,Harbhajan Singh,14,12,7.0,0.0
335989,JDP Oram,51,24,12.75,0.0
335989,Joginder Sharma,28,25,6.720000000000001,2.0
335989,M Muralitharan,36,24,9.0,2.0
335989,MA Khote,29,18,9.666666666666668,2.0
335989,MS Gony,17,25,4.08,1.0
335989,P Amarnath,57,24,14.25,1.0
335989,SM Pollock,31,18,10.333333333333334,0.0
335989,VS Yeligati,11,6,11.0,0.0
335990,A Symonds,46,17,16.235294117647058,0.0
335990,D Kalyankrishna,30,18,10.0,1.0
335990,D Salunkhe,9,6,9.0,0.0
335990,MM Patel,53,24,13.25,0.0
335990,PP Ojha,23,12,11.5,0.0
335990,Pankaj Singh,14,12,7.0,0.0
335990,RP Singh,42,25,10.08,1.0
335990,SK Trivedi,36,19,11.368421052631579,0.0
335990,SK Warne,46,24,11.5,2.0
335990,SR Watson,30,24,7.5,1.0
335990,Shahid Afridi,27,24,6.75,3.0
335990,WPUJC Vaas,42,24,10.5,1.0
335990,YK Pathan,20,12,10.0,2.0
335991,A Nehra,22,18,7.333333333333334,2.0
335991,B Lee,9,24,2.25,1.0
335991,DJ Bravo,27,18,9.0,0.0
335991,DS Kulkarni,35,25,8.399999999999999,2.0
335991,Harbhajan Singh,30,24,7.5,3.0
335991,IK Pathan,17,24,4.25,2.0
335991,MA Khote,22,12,11.0,0.0
335991,PP Chawla,15,24,3.75,2.0
335991,S Sreesanth,29,26,6.6923076923076925,2.0
335991,SM Pollock,39,24,9.75,1.0
335991,VRV Singh,39,24,9.75,1.0
335992,A Kumble,21,24,5.25,0.0
335992,JH Kallis,7,6,7.0,0.0
335992,MM Patel,20,18,6.666666666666667,2.0
335992,P Kumar,42,18,14.0,1.0
335992,R Vinay Kumar,14,12,7.0,0.0
335992,SB Joshi,27,19,8.526315789473685,1.0
335992,SK Trivedi,27,24,6.75,1.0
335992,SK Warne,23,24,5.75,1.0
335992,SR Watson,19,25,4.5600000000000005,2.0
335992,Sohail Tanvir,30,24,7.5,0.0
335992,YK Pathan,10,6,10.0,0.0
335992,Z Khan,24,24,6.0,1.0
335993,AB Agarkar,19,18,6.333333333333334,1.0
335993,AB Dinda,19,18,6.333333333333334,0.0
335993,DJ Hussey,10,6,10.0,0.0
335993,I Sharma,20,19,6.315789473684211,0.0
335993,JDP Oram,32,24,8.0,3.0
335993,Joginder Sharma,30,25,7.199999999999999,1.0
335993,LR Shukla,18,12,9.0,0.0
335993,M Kartik,33,18,11.0,0.0
335993,M Muralitharan,9,24,2.25,0.0
335993,MS Gony,39,25,9.36,2.0
335993,Mohammad Hafeez,15,12,7.5,0.0
335993,P Amarnath,29,24,7.25,2.0
335994,A Nehra,19,12,9.5,0.0
335994,AM Nayar,21,6,21.0,0.0
335994,D Kalyankrishna,23,12,11.5,0.0
335994,DJ Bravo,29,13,13.384615384615385,0.0
335994,DNT Zoysa,28,25,6.720000000000001,1.0
335994,DS Kulkarni,8,6,8.0,0.0
335994,PP Ojha,14,12,7.0,0.0
335994,RP Singh,13,24,3.25,2.0
335994,SB Bangar,34,24,8.5,2.0
335994,SD Chitnis,19,12,9.5,0.0
335994,SM Pollock,33,12,16.5,0.0
335994,ST Jayasuriya,17,12,8.5,0.0
335994,Shahid Afridi,31,25,7.4399999999999995,2.0
335995,B Lee,33,24,8.25,1.0
335995,GD McGrath,29,24,7.25,1.0
335995,IK Pathan,23,24,5.75,2.0
335995,MF Maharoof,30,18,10.0,0.0
335995,Mohammad Asif,38,25,9.120000000000001,2.0
335995,PP Chawla,27,24,6.75,0.0
335995,R Bhatia,4,6,4.0,0.0
335995,S Sreesanth,25,12,12.5,0.0
335995,Shoaib Malik,29,22,7.909090909090908,1.0
335995,VRV Singh,29,24,7.25,3.0
335995,VY Mahesh,23,24,5.75,1.0
335995,Yuvraj Singh,10,12,5.0,1.0
335996,B Akhil,34,24,8.5,0.0
335996,DW Steyn,37,24,9.25,0.0
335996,JA Morkel,35,24,8.75,1.0
335996,JDP Oram,25,24,6.25,0.0
335996,JH Kallis,36,24,9.0,0.0
335996,Joginder Sharma,26,22,7.090909090909092,2.0
335996,MS Gony,34,24,8.5,3.0
335996,P Amarnath,38,24,9.5,2.0
335996,P Kumar,29,24,7.25,1.0
335996,Z Khan,38,24,9.5,3.0
335997,A Nehra,9,6,9.0,0.0
335997,AB Agarkar,19,25,4.5600000000000005,1.0
335997,AB Dinda,12,24,3.0,1.0
335997,CRD Fernando,39,24,9.75,1.0
335997,DJ Bravo,24,24,6.0,1.0
335997,DS Kulkarni,12,18,4.0,0.0
335997,I Sharma,33,22,9.0,1.0
335997,LR Shukla,11,6,11.0,0.0
335997,M Kartik,23,18,7.666666666666666,0.0
335997,Mohammad Hafeez,11,6,11.0,0.0
335997,SC Ganguly,14,12,7.0,0.0
335997,SM Pollock,27,24,6.75,2.0
335997,ST Jayasuriya,13,24,3.25,3.0
335998,DL Vettori,19,24,4.75,1.0
335998,DW Steyn,27,25,6.48,1.0
335998,GD McGrath,29,24,7.25,4.0
335998,JH Kallis,39,24,9.75,2.0
335998,Mohammad Asif,42,24,10.5,0.0
335998,P Kumar,24,24,6.0,0.0
335998,R Bhatia,14,6,14.0,0.0
335998,R Vinay Kumar,25,12,12.5,0.0
335998,SB Joshi,19,6,19.0,0.0
335998,Shoaib Malik,8,6,8.0,0.0
335998,V Kohli,11,6,11.0,0.0
335998,V Sehwag,30,12,15.0,0.0
335998,VY Mahesh,27,25,6.48,0.0
335998,Z Khan,42,24,10.5,1.0
335999,D Kalyankrishna,32,18,10.666666666666666,1.0
335999,DNT Zoysa,32,24,8.0,1.0
335999,Gagandeep Singh,37,24,9.25,1.0
335999,IK Pathan,29,24,7.25,2.0
335999,PP Chawla,28,24,7.0,3.0
335999,RP Singh,34,23,8.869565217391305,0.0
335999,S Sreesanth,32,24,8.0,1.0
335999,SB Bangar,26,24,6.5,0.0
335999,Shahid Afridi,28,18,9.333333333333334,0.0
335999,VRV Singh,34,24,8.5,0.0
335999,Y Venugopal Rao,9,6,9.0,0.0
336000,AB Agarkar,46,24,11.5,1.0
336000,AB Dinda,28,24,7.0,0.0
336000,DJ Hussey,26,12,13.0,0.0
336000,I Sharma,25,25,6.0,1.0
336000,LR Shukla,15,7,12.857142857142858,1.0
336000,MM Patel,29,24,7.25,0.0
336000,SC Ganguly,14,6,14.0,0.0
336000,SK Trivedi,29,24,7.25,2.0
336000,SK Warne,19,12,9.5,1.0
336000,SR Watson,20,19,6.315789473684211,2.0
336000,Sohail Tanvir,28,24,7.0,2.0
336000,Umar Gul,28,26,6.461538461538462,3.0
336000,YK Pathan,14,12,7.0,0.0
336001,GD McGrath,21,24,5.25,1.0
336001,JA Morkel,39,24,9.75,0.0
336001,Joginder Sharma,34,19,10.736842105263158,1.0
336001,M Muralitharan,26,25,6.24,0.0
336001,M Ntini,29,24,7.25,0.0
336001,MS Gony,38,24,9.5,1.0
336001,Mohammad Asif,33,24,8.25,1.0
336001,PJ Sangwan,38,24,9.5,0.0
